TICKER_YEAR,TICKER,YEAR,ACCOCI,ASSETS,ASSETSC,ASSETSNC,CASHNEQ,DEBT,EQUITY,LIABILITIES,LIABILITIESC,LIABILITIESNC,CAPEX,DEPAMOR,NCF,NCFF,NCFI,NCFO,NCFX,PRICE,SHARESBAS,DPS,EBIT,EPS,EPSDIL,INTEXP,NETINC,NETINCCMN,NETINCDIS,PREFDIVIS,REVENUE,SHARESWA,SHARESWADIL,TAXEXP,ASSETSAVG,ASSETTURNOVER,BVPS,CURRENTRATIO,DE,DILUTIONRATIO,DIVYIELD,EBITDA,EBITDAMARGIN,EBT,EPSDILGROWTH1YR,EPSGROWTH1YR,EQUITYAVG,FCF,FCFPS,INTERESTBURDEN,LEVERAGERATIO,MARKETCAP,NCFOGROWTH1YR,NETINCGROWTH1YR,NETMARGIN,PAYOUTRATIO,PB,PE,PE1,PS,PS1,REVENUEGROWTH1YR,ROA,ROE,ROS,SHARESWAGROWTH1YR,SPS,TAXEFFICIENCY,WORKINGCAPITAL
AA_2008,AA,2008,-3169000000,37822000000,8150000000,29672000000,762000000,10578000000,11735000000,23490000000,7279000000,16211000000,-3438000000,1234000000,279000000,1478000000,-2410000000,1234000000,-23000000,11.26,800317368,0.68,896000000,-0.1,-0.1,407000000,147000000,147000000,0,0,26901000000,810000000,813000000,342000000,39246250000,0.68544128,14.48765432,1.11965929,2.0017043,1.0037037,0.06039076,2130000000,0.07917921,489000000,-1.03401361,-1.03389831,14828750000,-2204000000,-2.72098765,0.54575893,2.64663239,9011573564,-0.60334298,-0.94981222,0.00546448,-6.8,0.76792276,61.30322152,-112.6,0.33499028,0.33904316,-0.08125,0.00374558,0.00991318,0.03330731,-0.04497826,33.21111111,0.3006135,871000000
AA_2009,AA,2009,-2092000000,38472000000,7022000000,31450000000,1481000000,9819000000,12420000000,22912000000,5414000000,17498000000,-1622000000,1311000000,719000000,37000000,-721000000,1365000000,38000000,16.12,974377851,0.26,-46000000,-1.23,-1.23,470000000,-1090000000,-1090000000,0,0,18439000000,935000000,935000000,574000000,37782750000,0.48802694,13.28342246,1.29700776,1.84476651,1,0.01612903,1265000000,0.06860459,-516000000,11.3,11.3,12727000000,-257000000,-0.27486631,11.2173913,2.96870826,15706970958,0.10615883,-8.41496599,-0.05911383,-0.21138211,1.26465145,-14.4100651,-13.10569106,0.85183421,0.81740875,-0.3145608,-0.02884914,-0.08564469,-0.00249471,0.15432099,19.72085561,2.1124031,1608000000
AA_2010,AA,2010,-1675000000,39293000000,6919000000,32374000000,1543000000,9165000000,13611000000,22207000000,5251000000,16956000000,-1015000000,1451000000,62000000,-952000000,-1272000000,2261000000,25000000,15.39,1021441559,0.12,1034000000,0.25,0.24,494000000,392000000,392000000,0,0,21013000000,1018000000,1025000000,148000000,38202500000,0.55004254,13.33104799,1.31765378,1.63154801,1.00687623,0.00779727,2485000000,0.11826012,540000000,-1.19512195,-1.20325203,13060500000,1246000000,1.22396857,0.52224371,2.92504115,15719985593,0.65641026,-1.35963303,0.01865512,0.48,1.15494715,40.10200406,61.56,0.74810763,0.74558702,0.13959542,0.01026111,0.03001416,0.04920763,0.08877005,20.64145383,0.72592593,1668000000
AA_2011,AA,2011,-2627000000,40120000000,7713000000,32407000000,1939000000,9371000000,13844000000,22925000000,6013000000,16912000000,-1287000000,1481000000,396000000,62000000,-1852000000,2193000000,-7000000,8.65,1064303727,0.12,1584000000,0.57,0.55,524000000,805000000,805000000,0,0,24951000000,1061000000,1161000000,255000000,40380000000,0.6179049,13.0112782,1.28272077,1.65595204,1.09425071,0.01387283,3065000000,0.12284077,1060000000,1.29166667,1.28,14797250000,906000000,0.8539114,0.66919192,2.72888543,9206227239,-0.03007519,1.05357143,0.03226324,0.21052632,0.66499763,11.43630713,15.1754386,0.36897228,0.36782694,0.1874078,0.01993561,0.054402,0.06348443,0.04223969,23.51649387,0.75943396,1700000000
AA_2012,AA,2012,-3402000000,40179000000,7700000000,32479000000,1861000000,8829000000,13199000000,23656000000,5942000000,17714000000,-1261000000,1462000000,-78000000,-798000000,-759000000,1497000000,-18000000,8.68,1067201953,0.12,814000000,0.18,0.18,490000000,162000000,162000000,0,0,23700000000,1067000000,1076000000,162000000,40142750000,0.59039303,12.33551402,1.29585998,1.79225699,1.00843486,0.01382488,2276000000,0.09603376,324000000,-0.67272727,-0.68421053,13642250000,236000000,0.22118088,0.3980344,2.94253147,9263312952,-0.31737346,-0.79875776,0.00683544,0.66666667,0.7018193,57.18094415,48.22222222,0.39085709,0.39078312,-0.05013827,0.0040356,0.01187487,0.03434599,0.00565504,22.21180881,0.5,1758000000
AA_2013,AA,2013,-3659000000,35742000000,6969000000,28773000000,1437000000,8319000000,10593000000,22220000000,6105000000,16115000000,-1193000000,1422000000,-424000000,-679000000,-1290000000,1578000000,-33000000,10.63,1069602101,0.12,-1363000000,-2.14,-2.14,453000000,-2244000000,-2244000000,0,0,23032000000,1070000000,1070000000,428000000,38157000000,0.6036114,9.8723206,1.14152334,2.09761163,1,0.01128881,59000000,0.00256165,-1816000000,-12.88888889,-12.88888889,12421250000,385000000,0.35981308,1.3323551,3.07191305,11369870334,0.05410822,-14.85185185,-0.09742966,-0.05607477,1.07333808,-5.06678714,-4.96728972,0.49365536,0.49383901,-0.02818565,-0.05880965,-0.18065815,-0.05917853,0.00281162,21.52523364,1.23568282,864000000
AAPL_2004,AAPL,2004,-15000000,8050000000,7055000000,995000000,2969000000,0,5076000000,2974000000,2651000000,323000000,-176000000,150000000,-427000000,127000000,-1488000000,934000000,0,2.66357143,5430951092,0,370000000,0.05,0.05,0,266000000,266000000,0,0,8279000000,5202260000,5423432000,104000000,7244750000,1.14275855,0.94532392,2.6612599,0.58589441,1.0425146,0,520000000,0.06280952,370000000,4,4,4677000000,758000000,0.1457059,1,1.54901646,14465726166,2.23183391,2.85507246,0.03212948,0,2.84982785,54.3824292,53.2714286,1.7472794,1.67370348,0.33381666,0.03671624,0.05687406,0.04469139,0.0303884,1.59142373,0.71891892,4404000000
AAPL_2005,AAPL,2005,0,11516000000,10300000000,1216000000,3491000000,0,7428000000,4088000000,3487000000,601000000,-260000000,179000000,522000000,543000000,-2556000000,2535000000,0,7.6,5808805072,0,1808000000,0.23,0.22,0,1328000000,1328000000,0,0,13931000000,5659073000,5998146000,480000000,10369250000,1.34349157,1.29177352,2.95382851,0.55035003,1.0599167,0,1987000000,0.14263154,1808000000,3.4,3.6,6606250000,2275000000,0.4020093,1,1.56961211,44146918547,1.71413276,3.9924812,0.09532697,0,5.9433116,33.24316156,33.04347826,3.16896982,3.0872841,0.68269115,0.12807098,0.20102176,0.1297825,0.08781049,2.4617106,0.73451327,6813000000
AAPL_2006,AAPL,2006,22000000,17205000000,14509000000,2696000000,6392000000,0,9984000000,7221000000,6443000000,778000000,-685000000,225000000,2901000000,324000000,357000000,2220000000,0,10.99714286,5953557008,0,2818000000,0.34,0.32,0,1989000000,1989000000,0,0,19315000000,5908406000,6142682000,829000000,15102750000,1.27890616,1.6702118,2.25190129,0.72325721,1.0396513,0,3043000000,0.15754595,2818000000,0.45454545,0.47826087,9094000000,1535000000,0.25979934,1,1.66073785,65472116942,-0.12426036,0.49774096,0.10297696,0,6.55770402,32.91710253,32.34453782,3.38970318,3.36399611,0.3864762,0.13169787,0.21871564,0.14589697,0.04405898,3.26907122,0.70581973,8066000000
AAPL_2007,AAPL,2007,63000000,25347000000,21956000000,3391000000,9352000000,0,14532000000,10815000000,9280000000,1535000000,-986000000,327000000,2960000000,739000000,-3249000000,5470000000,0,21.92428571,6087486685,0,5006000000,0.58,0.56,0,3495000000,3495000000,0,0,24578000000,6052165000,6225044000,1511000000,21291500000,1.15435737,2.3837957,2.36594828,0.74421965,1.02856482,0,5333000000,0.21698267,5006000000,0.75,0.70588235,12856250000,4484000000,0.7408919,1,1.65612056,1.33E+11,1.46396396,0.7571644,0.14220034,0,9.18413139,38.18706648,37.8004926,5.4302139,5.39870594,0.27248253,0.16415001,0.27185221,0.20367809,0.02433127,4.0610261,0.69816221,12676000000
AAPL_2008,AAPL,2008,-9000000,36171000000,30006000000,6165000000,11875000000,0,22297000000,13874000000,11361000000,2513000000,-1199000000,496000000,2523000000,1116000000,-8189000000,9596000000,0,18.32,6201129942,0,8947000000,0.99,0.97,0,6119000000,6119000000,0,0,37491000000,6171144000,6314973000,2828000000,32097500000,1.16803489,3.59063623,2.64114074,0.62223618,1.0233067,0,9443000000,0.25187378,8947000000,0.73214286,0.70689655,19194000000,8397000000,1.36068774,1,1.67226738,1.14E+11,0.75429616,0.75078684,0.1632125,0,5.09506662,18.56589321,18.50505051,3.03018593,3.01553328,0.52538856,0.1906379,0.31879754,0.23864394,0.01965892,6.07521069,0.6839164,18645000000
AAPL_2009,AAPL,2009,77000000,47501000000,31555000000,15946000000,5263000000,0,31640000000,15861000000,11506000000,4355000000,-1213000000,734000000,-6612000000,663000000,-17434000000,10159000000,0,26.05285714,6270717306,0,12066000000,1.32,1.3,0,8235000000,8235000000,0,0,42905000000,6251112000,6349035000,3831000000,45416250000,0.94470591,5.03324503,2.74248218,0.50129583,1.01566489,0,12800000000,0.29833353,12066000000,0.34020619,0.33333333,26187000000,8946000000,1.43110538,1,1.73430519,1.63E+11,0.05867028,0.34580814,0.19193567,0,5.16340399,19.83850663,19.73701298,3.8077171,3.79581233,0.14440799,0.18132276,0.31446901,0.28122596,0.01295838,6.86357883,0.68249627,20049000000
AAPL_2010,AAPL,2010,-46000000,75183000000,41678000000,33505000000,11261000000,0,47791000000,27392000000,20722000000,6670000000,-2121000000,1027000000,5998000000,1257000000,-13854000000,18595000000,0,41.76,6394940160,0,18540000000,2.2,2.16,0,14013000000,14013000000,0,0,65225000000,6366227000,6472984000,4527000000,62722750000,1.03989382,7.46512054,2.01129235,0.57316231,1.01676927,0,19567000000,0.29999233,18540000000,0.66153846,0.66666667,41504500000,16474000000,2.58771797,1,1.5112277,2.67E+11,0.83039669,0.70163934,0.21484094,0,5.58792871,19.05749669,18.98181818,4.09433041,4.07594694,0.52021909,0.22341176,0.33762604,0.28424684,0.01841512,10.24547193,0.75582524,20956000000
AAPL_2011,AAPL,2011,443000000,1.16E+11,44988000000,71383000000,9815000000,0,76615000000,39756000000,27970000000,11786000000,-7452000000,1814000000,-1446000000,1444000000,-40419000000,37529000000,0,57.75714286,6489636202,0,34205000000,4.01,3.95,0,25922000000,25922000000,0,0,1.08E+11,6469806000,6556515000,8283000000,1.01E+11,1.06972021,11.79061082,1.60843761,0.51890622,1.0134021,0,36019000000,0.3327421,34205000000,0.8287037,0.82272727,65525250000,30077000000,4.64882564,1,1.54434741,3.75E+11,1.01823071,0.84985371,0.23946642,0,4.89229061,14.4596422,14.40327752,3.46259869,3.45201812,0.65962438,0.25616207,0.39560322,0.31598444,0.01627008,16.73141358,0.75784242,17018000000
AAPL_2012,AAPL,2012,499000000,1.76E+11,57653000000,1.18E+11,10746000000,0,1.18E+11,57854000000,38542000000,19312000000,-9402000000,3277000000,931000000,-1698000000,-48227000000,50856000000,0,95.3,6561842000,0.38,55763000000,6.38,6.31,0,41733000000,41733000000,0,0,1.57E+11,6543726000,6617483000,14030000000,1.57E+11,0.99595434,17.99843844,1.49584868,0.48941714,1.01127141,0.00398741,59040000000,0.37723311,55763000000,0.59746835,0.59102244,1.06E+11,41454000000,6.33492295,1,1.48772331,6.25E+11,0.35511205,0.60994522,0.26665091,0.4153605,5.29010695,14.98438987,14.93730408,3.99560114,3.98457004,0.44581474,0.26557213,0.39509784,0.35629489,0.01142538,23.91726059,0.74839948,19111000000
